City,Lat,Lon,Country,Date,Max Temp,Humidity,Cloudiness,Wind Speed
Tucuman,-17.17,-70.89,PE,1551403120,18.06,81,32,1.51
Pyaozerskiy,65.83,31.17,RU,1551403126,-9.72,75,36,3.66
Gornopravdinsk,60.06,69.92,RU,1551402888,-8.82,81,88,3.76
Jumla,29.28,82.18,NP,1551403131,-13.95,56,0,1.31
Omboue,-1.57,9.26,GA,1551403133,28.08,100,68,1.41
Arara,-6.83,-35.76,BR,1551398400,24.0,83,0,5.1
Menongue,-14.66,17.68,AO,1551403136,17.81,94,64,1.36
Lensk,60.71,114.91,RU,1551403141,-8.2,84,80,1.06
Hokitika,-42.72,170.96,NZ,1551403143,15.78,90,0,0.81
Churapcha,62.0,132.43,RU,1551403149,-29.0,57,0,1.21
Dubrovka,59.85,30.93,RU,1551403046,-5.0,62,90,8.0
Te Anau,-45.41,167.72,NZ,1551402892,15.36,54,0,1.76
Los Llanos de Aridane,28.66,-17.92,ES,1551402997,18.0,72,20,3.6
Bogorodskoye,52.37,140.44,RU,1551403161,-9.65,75,48,1.11
Tual,-5.67,132.75,ID,1551403163,27.0,100,64,2.96
Oktyabrskiy,55.61,37.97,RU,1551401356,1.11,92,20,1.0
Oistins,13.07,-59.53,BB,1551398400,25.0,78,75,8.2
Along,28.17,94.8,IN,1551403169,7.81,97,92,0.41
Ginir,7.14,40.71,ET,1551403171,11.16,62,0,1.46
Kaitangata,-46.28,169.85,NZ,1551403173,15.61,68,24,9.61
Storslett,69.77,21.03,NO,1551403175,-11.05,97,12,1.66
Chivacoa,10.16,-68.9,VE,1551403177,24.71,65,20,1.86
Gueret,46.17,1.87,FR,1551403171,9.44,100,75,3.6
Mahajanga,-15.72,46.32,MG,1551402000,27.0,83,40,3.26
Aktau,43.65,51.16,KZ,1551400200,1.0,100,90,1.0
Kirovskiy,45.09,133.51,RU,1551403190,-3.95,62,20,1.46
Sampit,-2.54,112.95,ID,1551403191,23.66,96,68,2.11
Martapura,-3.41,114.85,ID,1551403193,23.83,100,88,3.21
Kuraymah,36.78,40.45,SY,1551403199,2.11,75,0,5.11
Solnechnyy,50.72,136.64,RU,1551403210,-7.95,61,20,1.96
Ayorou,14.73,0.92,NE,1551403215,16.25,19,0,5.06
Poum,41.28,20.71,MK,1551403217,-7.22,72,0,0.86
Aripuana,-9.17,-60.63,BR,1551403219,23.91,92,80,0.96
Virginia Beach,36.85,-75.98,US,1551403204,5.56,75,20,3.1
Palafrugell,41.92,3.16,ES,1551402971,11.67,93,0,1.0
Ambanja,-13.68,48.45,MG,1551403228,21.93,92,64,1.01
Shenjiamen,29.96,122.3,CN,1551403230,9.83,91,48,4.46
Anloga,5.79,0.9,GH,1551398400,29.0,79,20,3.1
Ambon,47.55,-2.56,FR,1551403049,11.11,87,75,2.1
Kipini,-2.53,40.53,KE,1551403235,25.36,99,8,4.16
Moron,10.49,-68.2,VE,1551403237,22.75,75,20,1.46
Pueblo Nuevo,23.99,-106.96,MX,1551403242,27.18,41,0,1.81
Chokurdakh,70.62,147.9,RU,1551403245,-27.7,51,20,1.66
Krasnovishersk,60.4,57.08,RU,1551403247,-8.35,85,68,1.66
Anlu,31.26,113.68,CN,1551403249,5.56,96,100,2.11
Xam Nua,20.42,104.04,LA,1551403251,13.96,98,68,0.86
Tirumala,13.68,79.35,IN,1551400200,27.0,78,40,3.1
Smirice,50.3,15.87,CZ,1551403203,9.0,61,75,2.6
Kununurra,-15.77,128.74,AU,1551400200,31.0,58,0,1.5
Murray Bridge,-35.12,139.28,AU,1551403255,38.89,13,0,1.79
Port Lincoln,-34.72,135.86,AU,1551403277,27.08,62,0,6.56
Mabaruma,8.2,-59.78,GY,1551403289,25.66,74,0,3.76
Gat,14.69,-16.54,SN,1551402000,24.0,11,0,5.7
Buin,-33.73,-70.74,CL,1551402000,20.0,49,0,4.1
Kita,35.76,139.74,JP,1551403303,10.0,87,90,1.86
Kuldur,49.22,131.63,RU,1551403319,-8.97,69,12,1.31
Tahe,52.34,124.71,CN,1551403321,-14.3,60,0,1.26
Buraydah,26.33,43.97,SA,1551398400,10.0,76,0,3.6
Salamiyah,35.01,37.05,SY,1551403325,-0.1,85,0,4.81
Kavkazskiy,45.73,39.01,RU,1551403327,4.43,93,92,10.51
La Palma,5.36,-74.39,CO,1551403332,23.33,74,8,0.86
Yinchuan,38.48,106.21,CN,1551403334,-5.17,74,44,1.71
Grindavik,63.84,-22.43,IS,1551402554,7.22,87,90,9.8
Barpeta,26.33,91.01,IN,1551400200,14.0,93,40,1.56
Dwarka,28.58,77.04,IN,1551400200,10.0,93,20,1.5
Codajas,-3.84,-62.06,BR,1551403351,26.21,82,68,3.71
Keuruu,62.26,24.71,FI,1551403290,-6.67,72,0,3.1
Taraclia,45.9,28.68,UA,1551403355,5.08,68,24,5.01
Codrington,-28.95,153.24,AU,1551403099,26.0,83,75,2.1
Suez,29.97,32.54,EG,1551403359,10.53,64,64,4.36
Scottsbluff,41.87,-103.67,US,1551403297,5.56,74,40,4.6
Maniitsoq,65.42,-52.9,GL,1551403365,-3.6,67,0,4.86
Tromso,69.65,18.96,NO,1551402806,-4.0,62,40,11.3
Zhangye,38.94,100.46,CN,1551403370,-9.32,82,0,2.51
Aswan,24.09,32.9,EG,1551398400,14.0,33,0,6.7
Akdepe,42.05,59.39,TM,1551400200,4.0,64,90,3.1
Ugoofaaru,5.67,73.0,MV,1551403385,27.06,100,0,3.51
Carbonia,39.17,8.53,IT,1551401400,9.0,93,20,4.6
Tokonou,9.65,-9.78,GN,1551403393,17.96,33,0,3.41
Wanaka,-44.7,169.14,NZ,1551403396,15.86,38,0,1.21
Jiuquan,39.73,98.49,CN,1551403399,-16.8,60,8,1.41
Anadyr,64.73,177.51,RU,1551403391,0.0,95,90,23.0
Luanda,-8.83,13.24,AO,1551402000,27.0,88,20,1.0
Boa Vista,2.82,-60.67,BR,1551402000,30.0,48,0,7.7
Safford,32.83,-109.71,US,1551403270,21.0,22,1,5.1
Bathurst,-33.42,149.58,AU,1551403213,27.22,43,36,0.45
Souillac,45.6,-0.6,FR,1551403268,11.67,93,75,2.1
Novaya Bryan,51.72,108.27,RU,1551400200,-17.0,77,0,0.91
Adwa,14.16,38.9,ET,1551403421,12.78,89,0,0.71
Mocuba,-16.84,36.99,MZ,1551403423,23.71,90,0,1.66
Eydhafushi,5.1,73.07,MV,1551403425,27.06,100,0,3.51
Bagdarin,54.44,113.59,RU,1551403428,-18.22,57,0,1.06
Tautira,-17.73,-149.15,PF,1551403386,32.0,66,40,3.6
Barabinsk,55.35,78.35,RU,1551403431,-12.47,81,32,3.01
College,64.86,-147.8,US,1551402978,-0.57,57,1,2.06
Talavera de la Reina,39.96,-4.83,ES,1551403305,4.03,81,36,1.51
Qaqortoq,60.72,-46.03,GL,1551401400,1.0,80,0,1.5
Necochea,-38.55,-58.74,AR,1551403090,15.56,76,0,0.45
Pijao,4.33,-75.7,CO,1551398400,25.0,64,40,2.6
Kochki,54.33,80.49,RU,1551403449,-9.32,89,64,3.46
Saint-Augustin,44.83,-0.61,FR,1551403448,12.0,87,90,3.1
Caranguejeira,39.74,-8.71,PT,1551403445,11.67,93,75,1.0
San Ciro de Acosta,21.65,-99.82,MX,1551403457,25.25,54,20,1.86
Nicoya,10.15,-85.45,CR,1551398400,29.0,54,0,5.7
Otjiwarongo,-20.46,16.65,NA,1551403461,18.58,63,48,2.21
Ballina,54.11,-9.15,IE,1551403323,8.89,93,76,0.89
Petropavlovsk-Kamchatskiy,53.05,158.65,RU,1551400200,-5.0,53,44,1.0
Ganzhou,25.86,114.93,CN,1551403467,9.06,99,92,1.41
Makakilo City,21.35,-158.09,US,1551403388,24.0,44,1,4.6
Brorup,55.23,11.57,DK,1551403453,3.33,95,0,2.68
Pundaguitan,6.37,126.17,PH,1551403476,26.75,98,0,2.66
Grand Gaube,-20.01,57.66,MU,1551403440,27.0,83,40,2.1
Susanville,40.42,-120.65,US,1551403371,5.0,48,1,6.7
Tarko-Sale,64.92,77.78,RU,1551403385,-17.78,83,44,0.45
Tsiroanomandidy,-18.77,46.05,MG,1551403487,17.18,89,0,2.96
Papillion,41.15,-96.04,US,1551403386,-7.0,62,1,1.36
Algiers,29.94,-90.04,US,1551403278,19.0,93,90,4.56
Tooele,40.53,-112.3,US,1551403221,12.0,53,75,3.6
Alberton,-26.25,28.13,ZA,1551403463,21.11,51,0,1.36
Tilichiki,60.47,166.1,RU,1551403498,-19.65,73,0,1.66
Ambulu,-8.35,113.61,ID,1551403404,27.16,100,48,1.76
Yushu,44.84,126.53,CN,1551403511,-3.1,49,8,2.56
Diffa,13.32,12.61,NE,1551403513,24.86,38,92,2.21
Verkhniye Kigi,55.41,58.6,RU,1551403524,-6.55,81,48,4.16
Troitsko-Pechorsk,62.71,56.19,RU,1551403527,-13.1,83,80,1.21
Lavrentiya,65.58,-170.99,RU,1551403402,-1.32,90,88,14.46
Ondjiva,-17.07,15.73,AO,1551403531,18.33,95,80,4.51
Kovdor,67.56,30.47,RU,1551403554,-6.05,76,76,4.56
Bud,62.91,6.91,NO,1551403200,1.0,100,92,1.0
Husavik,50.56,-96.99,CA,1551403459,-13.89,75,20,2.86
Tyukhtet,56.54,89.31,RU,1551403562,-4.97,92,80,2.56
Praxedis Guerrero,31.37,-106.02,MX,1551403089,22.0,16,1,4.6
Ryotsu,38.08,138.43,JP,1551398400,7.0,81,75,4.1
Ayabaca,-4.64,-79.72,PE,1551403568,15.33,96,92,0.66
Benguela,-12.58,13.4,AO,1551403570,25.58,100,80,1.56
Tete,-16.16,33.59,MZ,1551402000,23.0,88,20,3.1
Sligo,54.27,-8.48,IE,1551403323,7.78,93,80,0.89
Flinders,-34.58,150.85,AU,1551403524,28.33,60,40,1.0
Malpe,13.35,74.72,IN,1551400200,22.0,68,0,2.6
Ariquemes,-9.91,-63.03,BR,1551403585,23.71,86,56,0.96
Roald,62.58,6.12,NO,1551403505,1.0,100,88,1.0
Lamar,38.09,-102.62,US,1551401580,1.0,80,1,3.6
Mae Ramat,16.98,98.52,TH,1551398400,21.0,77,20,1.0
Whitecourt,54.14,-115.68,CA,1551402000,-9.0,36,5,6.2
Pastos Bons,-6.6,-44.09,BR,1551403597,22.66,96,56,1.06
